Source DB,Source Coll,Doc Count,Avg Doc Size,Target DB,Target Coll,Partition Key,Blob Name,Raw Storage Container,ADF Storage Container,ADF Blob Doc Count,ADF Blob Dataset Name,ADF Cosmos Dataset Name,ADF Pipeline Name
olympics,countries,230,69,olympics,locations,pk,olympics__countries.json,olympics-raw,olympics-locations-adf,-1,blob__olympics__locations,cosmos__olympics__locations,pipeline_copy_to_olympics_locations
olympics,g1896_summer,380,323,olympics,games,pk,olympics__g1896_summer.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1900_summer,1936,320,olympics,games,pk,olympics__g1900_summer.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1904_summer,1301,334,olympics,games,pk,olympics__g1904_summer.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1906_summer,1733,326,olympics,games,pk,olympics__g1906_summer.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1908_summer,3101,324,olympics,games,pk,olympics__g1908_summer.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1912_summer,4040,329,olympics,games,pk,olympics__g1912_summer.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1920_summer,4292,328,olympics,games,pk,olympics__g1920_summer.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1924_summer,5233,320,olympics,games,pk,olympics__g1924_summer.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1924_winter,460,330,olympics,games,pk,olympics__g1924_winter.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1928_summer,4992,328,olympics,games,pk,olympics__g1928_summer.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1928_winter,582,331,olympics,games,pk,olympics__g1928_winter.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1932_summer,2969,336,olympics,games,pk,olympics__g1932_summer.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1932_winter,352,334,olympics,games,pk,olympics__g1932_winter.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1936_summer,6506,322,olympics,games,pk,olympics__g1936_summer.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1936_winter,895,341,olympics,games,pk,olympics__g1936_winter.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1948_summer,6405,322,olympics,games,pk,olympics__g1948_summer.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1948_winter,1075,330,olympics,games,pk,olympics__g1948_winter.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1952_summer,8270,324,olympics,games,pk,olympics__g1952_summer.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
olympics,g1952_winter,1088,323,olympics,games,pk,olympics__g1952_winter.json,olympics-raw,olympics-games-adf,-1,blob__olympics__games,cosmos__olympics__games,pipeline_copy_to_olympics_games
